Anti,smiles,CAS
1,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1
1,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],2
1,CCCCCCCC[N+](C)(C)C,3
1,CCCCCCCCCC[N+](C)(C)C,4
1,CCCCCCCCCCCC[N+](C)(C)C,5
1,CCCCCCCCCCCCCC[N+](C)(C)C,6
1,CCCCCCCCCCCCCCCC[N+](C)(C)C,7
1,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,8
1,CCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,9
1,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,10
1,CCCCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,11
1,CCCCCCCC[N+](C)(C)CCCCCCCC,12
1,CCCCCCCCCC[N+](C)(C)CCCCCCCC,13
1,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,14
1,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC,15
1,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,16
1,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,17
1,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCC,18
1,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,19
1,CCCCCCCCCCCC[N+](C)(C)CC,20
1,CCCCCCCCCCCCCC[N+](C)(C)CC,21
1,CCCCCCCCCCCCCCCC[N+](C)(C)CC,22
1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC,23
1,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,24
1,CCCCCCCC[N+](C)(C)Cc1ccccc1,25
1,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,26
1,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,27
1,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,28
1,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,29
1,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,30
1,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,31
1,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,32
1,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,33
1,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccc(CC)cc1,34
1,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O,35
1,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O,36
1,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O,37
0,CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCC,38
0,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCCCC,39
1,CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CCO,40
1,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)CCO,41
1,CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCO,42
1,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCO,43
1,CCCCCCCCCCCC[N+](C)(C)CCO,44
1,CCCCCCCCCCCCCC[N+](C)(C)CCO,45
1,CCCCCCCCCCCCCCCC[N+](C)(C)CCO,46
1,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCO,47
1,CCCCCCCCCCCC[N+](C)(CCO)CCO,48
1,CCCCCCCCCCCCCC[N+](C)(CCO)CCO,49
1,CCCCCCCCCCCCCCCCCC[N+](C)(CCO)CCO,50
1,CCCCCCCCCCCC[n+]1ccccc1,51
1,CCCCCCCCCCCCCCCC[n+]1ccccc1,52
